REGIONAL_OFFICE_NAME,PRACTICE_NAME,PRACTICE_CODE,POSTCODE,QUANTITY,ITEMS,TOTAL_QUANTITY,NIC,ACTUAL_COST,UNIDENTIFIED,ADQ_USAGE,FECHA,SUSTANCIA,PRESENTACION,REGION_NAME
LONDON,BROOK GREEN MEDICAL CENTRE,E85020,W6 7EG,1,3,3,219.75,204.56962,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,NW LONDON HEALTH & CARE PARTNERSHIP STP
LONDON,HANWELL HEALTH CENTRE (NAISH),E85041,W7 1DR,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,NW LONDON HEALTH & CARE PARTNERSHIP STP
LONDON,FIRST CHOICE MEDICAL CARE,Y05080,HA2 9LG,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,NW LONDON HEALTH & CARE PARTNERSHIP STP
MIDLANDS,PCT DIABETES CLINIC,Y03360,ST5 1QG,3,1,3,219.75,204.54482,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,STAFFORDSHIRE & STOKE ON TRENT STP
MIDLANDS,THE HAYMARKET HEALTH CTR,M83082,ST6 5BE,1,3,3,219.75,204.56962,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,STAFFORDSHIRE & STOKE ON TRENT STP
MIDLANDS,NEWBRIDGE SURGERY,M92029,WV6 0DE,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,THE BLACK COUNTRY & WEST BIRMINGHAM STP
SOUTH EAST,WELLSBOURNE HEALTHCARE CIC,Y06007,BN2 5FL,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,SUSSEX & EAST SURREY STP
NORTH EAST AND YORKSHIRE,CROSLAND MOOR SURGERY,Y04266,HD4 5RX,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,W YORKSHIRE & HARROGATE H&C P/SHIP STP
LONDON,THE FORELAND MEDICAL CENTRE,E87706,W11 4ES,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,NW LONDON HEALTH & CARE PARTNERSHIP STP
EAST OF ENGLAND,THE MEDICI MEDICAL PRACTICE,E81073,LU1 3UA,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,"BEDFORDSHIRE, LUTON & MILTON KEYNES STP"
EAST OF ENGLAND,PHOENIX PRIMARY CARE (SOUTH) LTD,Y02332,LU4 8BY,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,"BEDFORDSHIRE, LUTON & MILTON KEYNES STP"
NORTH WEST,FEARNHEAD CROSS MED.CTR.,N81048,WA2 0HD,1,5,5,366.25,340.94937,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,CHESHIRE & MERSEYSIDE STP
SOUTH WEST,PUDDLETOWN SURGERY,J81616,DT2 8FY,1,1,1,73.25,68.17747,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,DORSET STP
EAST OF ENGLAND,THE RIVER SURGERY,F81216,IG9 6BN,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,HERTFORDSHIRE & WEST ESSEX STP
EAST OF ENGLAND,WALLACE HOUSE,E82024,SG14 1HZ,1,3,3,219.75,204.56962,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,HERTFORDSHIRE & WEST ESSEX STP
NORTH WEST,BLOOMFIELD MEDICAL CENTRE,P81115,FY1 6JW,4,2,8,586.0,545.4446,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP
NORTH WEST,CLEVELEYS GROUP PRACTICE,P81073,FY5 3LF,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP
LONDON,ST JAMES MEDICAL PRACTICE LIMITED,F86058,E17 7NH,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,EAST LONDON HEALTH & CARE P/SHIP STP
LONDON,NORTH END MEDICAL CENTRE,E85003,W14 9PR,3,1,3,219.75,204.54482,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,NW LONDON HEALTH & CARE PARTNERSHIP STP
NORTH WEST,PRIMROSE MEDICAL PRACTICE,N83622,L36 7XY,4,2,8,586.0,545.4446,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,CHESHIRE & MERSEYSIDE STP
MIDLANDS,HAZELDENE HOUSE SURGERY,M83022,ST18 0SU,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.25mg/0.19ml inj 1.5ml pf dispos dev,STAFFORDSHIRE & STOKE ON TRENT STP
MIDLANDS,COBRIDGE SURGERY,M83127,ST6 2JN,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,STAFFORDSHIRE & STOKE ON TRENT STP
NORTH EAST AND YORKSHIRE,MARSDEN RD. HEALTH CENTRE,A88003,NE34 6RE,1,9,9,659.25,613.70887,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,CUMBRIA & NORTH EAST STP
MIDLANDS,SHOWELL PARK HEALTH CENTRE,Y02736,WV10 9ST,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,THE BLACK COUNTRY & WEST BIRMINGHAM STP
NORTH EAST AND YORKSHIRE,DINNINGTON GROUP PRACTICE,C87002,S25 2EZ,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,SOUTH YORKSHIRE & BASSETLAW STP
NORTH EAST AND YORKSHIRE,GATEWAY PRIMARY CARE,C87622,S65 1DA,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,SOUTH YORKSHIRE & BASSETLAW STP
