REGIONAL_OFFICE_NAME,PRACTICE_NAME,PRACTICE_CODE,POSTCODE,QUANTITY,ITEMS,TOTAL_QUANTITY,NIC,ACTUAL_COST,UNIDENTIFIED,ADQ_USAGE,FECHA,SUSTANCIA,PRESENTACION,REGION_NAME
NORTH EAST AND YORKSHIRE,BRANCH END SURGERY,A84047,NE43 7LL,30,1,30,78.48,73.0577,N,0.0,2021-01-01,Semaglutide,Semaglutide 7mg tablets,CUMBRIA & NORTH EAST STP
NORTH EAST AND YORKSHIRE,CORBRIDGE HEALTH CENTRE,A84018,NE45 5LG,1,1,1,73.25,68.17747,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,CUMBRIA & NORTH EAST STP
LONDON,WOODFIELD ROAD MEDICAL CENTRE,E87741,W9 3XZ,30,1,30,78.48,73.0577,N,0.0,2021-01-01,Semaglutide,Semaglutide 3mg tablets,NW LONDON HEALTH & CARE PARTNERSHIP STP
EAST OF ENGLAND,DR SHARMA & PARTNERS,F81666,SS15 4EZ,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,MID AND SOUTH ESSEX STP
EAST OF ENGLAND,HORNDON-ON-THE-HILL SURGERY,F81198,SS17 8LB,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,MID AND SOUTH ESSEX STP
NORTH WEST,SEAFORTH VILLAGE SURGERY,N84043,L21 3TA,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.25mg/0.19ml inj 1.5ml pf dispos dev,CHESHIRE & MERSEYSIDE STP
NORTH WEST,DINAS LANE MEDICAL CENTRE,N83014,L36 2NW,2,3,6,439.5,412.90205,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,CHESHIRE & MERSEYSIDE STP
NORTH WEST,AINSDALE MEDICAL CENTRE,N84012,PR8 3HW,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,CHESHIRE & MERSEYSIDE STP
NORTH EAST AND YORKSHIRE,YORK MEDICAL GROUP,B82083,YO24 4HD,1,4,4,293.0,272.7595,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,"HUMBER, COAST & VALE STP"
NORTH EAST AND YORKSHIRE,SWALLOWNEST HEALTH CENTRE,C87008,S26 4WD,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,SOUTH YORKSHIRE & BASSETLAW STP
MIDLANDS,ALL SAINTS SURGERY,M83681,DE14 3LS,1,7,7,512.75,477.32912,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,STAFFORDSHIRE & STOKE ON TRENT STP
MIDLANDS,APSLEY SURGERY,M83627,ST6 2JN,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,STAFFORDSHIRE & STOKE ON TRENT STP
EAST OF ENGLAND,THE GARDEN CITY PRACTICE,E82041,AL8 6EH,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,HERTFORDSHIRE & WEST ESSEX STP
NORTH WEST,EASTVIEW SURGERY,N84011,L22 4QD,1,3,3,219.75,204.56962,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,CHESHIRE & MERSEYSIDE STP
NORTH WEST,DR DAWOUD'S SURGERY,P81701,PR6 7EH,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP
LONDON,BATH ROAD SURGERY,E85716,TW3 3ET,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,NW LONDON HEALTH & CARE PARTNERSHIP STP
NORTH EAST AND YORKSHIRE,CLIFTON MEDICAL CENTRE,C87017,S65 1DA,1,16,16,1172.0,1091.03799,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,SOUTH YORKSHIRE & BASSETLAW STP
MIDLANDS,POTTERIES MEDICAL CENTRE,M83102,ST2 0JG,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,STAFFORDSHIRE & STOKE ON TRENT STP
NORTH EAST AND YORKSHIRE,WAWN STREET SURGERY,A88007,NE33 4DX,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CUMBRIA & NORTH EAST STP
MIDLANDS,DUNCAN STREET PRIMARY CARE CENTRE,M92012,WV2 3AN,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,THE BLACK COUNTRY & WEST BIRMINGHAM STP
NORTH EAST AND YORKSHIRE,WELLSPRING MEDICAL PRACT.,A87612,NE12 6HS,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CUMBRIA & NORTH EAST STP
LONDON,THE NOTTING HILL MEDICAL CENTRE,E87065,W11 2EH,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,NW LONDON HEALTH & CARE PARTNERSHIP STP
NORTH EAST AND YORKSHIRE,UNITY HEALTH,B82047,YO10 5LA,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,"HUMBER, COAST & VALE STP"
NORTH WEST,GUARDIAN STREET MED/CTR,N81012,WA5 1UD,1,12,12,879.0,818.27849,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CHESHIRE & MERSEYSIDE STP
NORTH WEST,PEELHOUSE MEDICAL PLAZA,N81045,WA8 6TN,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CHESHIRE & MERSEYSIDE STP
SOUTH WEST,VILLAGE SURGERY,J81042,BH12 5BF,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,DORSET STP
SOUTH WEST,DENMARK ROAD MEDICAL CENTRE,J81625,BH9 1PB,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,DORSET STP
NORTH WEST,LITTLE HARWOOD HEALTH CENTRE,P81005,BB1 6PH,8,1,8,586.0,545.4322,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP
NORTH WEST,ADELAIDE STREET SURGERY,P81042,FY1 4LN,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP
NORTH WEST,NEW LONGTON SURGERY,P81687,PR4 4LU,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP
NORTH WEST,THE CHORLEY SURGERY,P81038,PR7 2EJ,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP
LONDON,MARKET STREET HEALTH GROUP,F84004,E6 2RA,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.25mg/0.19ml inj 1.5ml pf dispos dev,EAST LONDON HEALTH & CARE P/SHIP STP
LONDON,"THE SURGERY, DR DASGUPTA & PARTNERS",E85005,W12 0PT,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,NW LONDON HEALTH & CARE PARTNERSHIP STP
NORTH WEST,THE STRAND MEDICAL CENTRE,N84028,L20 5BW,4,2,8,586.0,545.4446,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,CHESHIRE & MERSEYSIDE STP
NORTH WEST,AINTREE ROAD MEDICAL CENTRE,N84002,L20 9DL,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,CHESHIRE & MERSEYSIDE STP
NORTH WEST,PHOENIX MEDICAL CENTRE,N83006,WA10 2JP,1,4,4,293.0,272.7595,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,CHESHIRE & MERSEYSIDE STP
LONDON,THE NORTHWICK SURGERY,E84044,HA1 2NU,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,NW LONDON HEALTH & CARE PARTNERSHIP STP
MIDLANDS,STAFFORD HEALTH AND WELLBEING,M83044,ST16 3EB,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,STAFFORDSHIRE & STOKE ON TRENT STP
NORTH WEST,THE ERIC MOORE PARTNERSHIP,N81628,WA2 7NJ,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CHESHIRE & MERSEYSIDE STP
NORTH EAST AND YORKSHIRE,FELLVIEW HEALTHCARE,A82044,CA22 2BD,1,13,13,952.25,886.46837,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CUMBRIA & NORTH EAST STP
EAST OF ENGLAND,LAWFORD SURGERY,F81633,CO11 2HD,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,SUFFOLK & NORTH EAST ESSEX STP
EAST OF ENGLAND,LONDON ROAD SURGERY,F81041,SS12 0AG,1,3,3,219.75,204.56962,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,MID AND SOUTH ESSEX STP
SOUTH EAST,STUBBINGTON MEDICAL PRACTICE,J82104,PO14 2JP,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,HAMPSHIRE & THE ISLE OF WIGHT STP
NORTH WEST,WITTON MEDICAL CENTRE,P81022,BB2 2SU,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.25mg/0.19ml inj 1.5ml pf dispos dev,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP
NORTH WEST,ISSA MEDICAL CENTRE - PATEL,P81196,PR1 6YA,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.25mg/0.19ml inj 1.5ml pf dispos dev,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP
LONDON,THE RIDGEWAY SURGERY,F86078,E4 7JX,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,EAST LONDON HEALTH & CARE P/SHIP STP
NORTH EAST AND YORKSHIRE,BEDLINGTONSHIRE MED.GROUP,A84005,NE22 6JX,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CUMBRIA & NORTH EAST STP
NORTH EAST AND YORKSHIRE,DEARNE VALLEY GROUP PRACTICE,Y00411,S63 0LT,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,SOUTH YORKSHIRE & BASSETLAW STP
MIDLANDS,DR KHARE'S SURGERY,M83113,B77 4JA,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,STAFFORDSHIRE & STOKE ON TRENT STP
SOUTH EAST,HERSHAM SURGERY,H81065,KT12 4HT,1,3,3,219.75,204.56962,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,SURREY HEARTLANDS H&C PARTNERSHIP STP
MIDLANDS,DUNCAN STREET PRIMARY CARE CENTRE,M92012,WV2 3AN,2,3,6,439.5,409.10205,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,THE BLACK COUNTRY & WEST BIRMINGHAM STP
SOUTH EAST,MILE OAK MEDICAL CENTRE,G81073,BN41 2WF,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,SUSSEX & EAST SURREY STP
EAST OF ENGLAND,WEST MERSEA SURGERY,F81012,CO5 8RA,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,SUFFOLK & NORTH EAST ESSEX STP
EAST OF ENGLAND,LONDON ROAD SURGERY,F81041,SS12 0AG,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,MID AND SOUTH ESSEX STP
SOUTH EAST,THE ELMS PRACTICE,J82210,PO11 9AP,60,1,60,156.96,146.103,N,0.0,2021-01-01,Semaglutide,Semaglutide 7mg tablets,HAMPSHIRE & THE ISLE OF WIGHT STP
EAST OF ENGLAND,THE MAPLES,E82063,EN10 6FD,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,HERTFORDSHIRE & WEST ESSEX STP
NORTH WEST,OAKENHURST MEDICAL PRACTICE,P81125,BB2 1AX,12,1,12,879.0,818.14209,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP
LONDON,THE EXMOOR SURGERY,E87733,W10 6DZ,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,NW LONDON HEALTH & CARE PARTNERSHIP STP
NORTH WEST,DR MAASSARANI & PARTNERS,N83608,L33 1XT,1,6,6,439.5,409.13925,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,CHESHIRE & MERSEYSIDE STP
NORTH EAST AND YORKSHIRE,DR THORNILEY-WALKER & PARTNERS,A88009,NE35 9AN,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,CUMBRIA & NORTH EAST STP
MIDLANDS,DUNCAN STREET PRIMARY CARE CENTRE,M92012,WV2 3AN,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.25mg/0.19ml inj 1.5ml pf dispos dev,THE BLACK COUNTRY & WEST BIRMINGHAM STP
LONDON,SOUTHDENE SURGERY,F86066,E18 1BD,30,1,30,78.48,73.0577,N,0.0,2021-01-01,Semaglutide,Semaglutide 3mg tablets,EAST LONDON HEALTH & CARE P/SHIP STP
SOUTH EAST,WELLSBOURNE HEALTHCARE CIC,Y06007,BN2 5FL,1,8,8,586.0,545.519,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,SUSSEX & EAST SURREY STP
SOUTH EAST,STANFORD MEDICAL CENTRE,G81038,BN1 6AG,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,SUSSEX & EAST SURREY STP
EAST OF ENGLAND,HAILEY VIEW SURGERY,E82088,EN11 9FF,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,HERTFORDSHIRE & WEST ESSEX STP
EAST OF ENGLAND,THE GARDEN CITY SURGERY,E82661,SG6 3BJ,1,6,6,439.5,409.13925,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,HERTFORDSHIRE & WEST ESSEX STP
NORTH WEST,ADELAIDE STREET SURGERY,P81042,FY1 4LN,1,7,7,512.75,477.32912,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP
NORTH WEST,CENTRAL PARK SURGERY,P81117,PR25 2TD,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP
LONDON,COMMUNITY DIABETES TEAM,Y04140,SE22 8PT,1,3,3,219.75,204.56962,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,OUR HEALTHIER SOUTH EAST LONDON STP
LONDON,HAMMERSMITH & FULHAM CENTRES FOR HEALTH,Y02589,W12 0HS,3,1,3,219.75,204.54482,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,NW LONDON HEALTH & CARE PARTNERSHIP STP
LONDON,CHISWICK FAMILY PRACTICE,E85075,W4 1BB,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,NW LONDON HEALTH & CARE PARTNERSHIP STP
NORTH WEST,DR RAHIL'S SURGERY,N83624,WA11 0DN,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,CHESHIRE & MERSEYSIDE STP
NORTH WEST,THE BOWERY MEDICAL CENTRE,N83050,WA9 5PR,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,CHESHIRE & MERSEYSIDE STP
LONDON,BELMONT HEALTH CENTRE,E84069,HA3 7LT,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,NW LONDON HEALTH & CARE PARTNERSHIP STP
MIDLANDS,TELDOC,Y01929,TF3 2JZ,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,SHROPSHIRE & TELFORD & WREKIN STP
MIDLANDS,DAWLEY MEDICAL PRACTICE,M82009,TF4 2AA,1,8,8,586.0,545.519,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.25mg/0.19ml inj 1.5ml pf dispos dev,SHROPSHIRE & TELFORD & WREKIN STP
NORTH EAST AND YORKSHIRE,SWALLOWNEST HEALTH CENTRE,C87008,S26 4WD,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,SOUTH YORKSHIRE & BASSETLAW STP
MIDLANDS,MANSION HOUSE SURGERY,M83069,ST15 8YE,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,STAFFORDSHIRE & STOKE ON TRENT STP
NORTH WEST,THE RYAN MEDICAL CENTRE,P81082,PR5 6JD,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP
MIDLANDS,BREWOOD MEDICAL PRACTICE,M83009,ST19 9BQ,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,STAFFORDSHIRE & STOKE ON TRENT STP
NORTH EAST AND YORKSHIRE,MY HEALTH GROUP,B82080,YO32 5UA,1,5,5,366.25,340.94937,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,"HUMBER, COAST & VALE STP"
EAST OF ENGLAND,NEVILLE ROAD SURGERY,E81633,LU3 2JG,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,"BEDFORDSHIRE, LUTON & MILTON KEYNES STP"
NORTH WEST,ATKINSON HEALTH CENTRE,A82062,LA14 2LB,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP
SOUTH WEST,CROSS ROAD SURGERY,J81075,DT4 9QX,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,DORSET STP
EAST OF ENGLAND,BEECHWOOD SURGERY,F81023,CM14 5WF,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,MID AND SOUTH ESSEX STP
EAST OF ENGLAND,DERRY COURT MEDICAL PRACTICE,F81669,RM15 5GN,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,MID AND SOUTH ESSEX STP
EAST OF ENGLAND,THE PRACTICE NORTHUMBERLAND AVENUE,Y02177,SS1 2TH,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,MID AND SOUTH ESSEX STP
NORTH WEST,OAKENHURST MEDICAL PRACTICE,P81125,BB2 1AX,1,26,26,1904.5,1772.93674,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP
NORTH WEST,BENTHAM ROAD HEALTH CENTRE,Y02657,BB2 4QD,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.25mg/0.19ml inj 1.5ml pf dispos dev,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP
NORTH WEST,NORTH SHORE SURGERY,P81681,FY2 0JG,1,4,4,293.0,272.7595,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP
LONDON,THE NELSON MEDICAL PRACTICE,H85020,SW20 8DA,1,4,4,293.0,272.7595,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,SW LONDON HEALTH & CARE PARTNERSHIP STP
MIDLANDS,LOOMER ROAD SURGERY,M83723,ST5 7JS,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,STAFFORDSHIRE & STOKE ON TRENT STP
MIDLANDS,MIDDLEPORT MEDICAL CENTRE,Y02867,ST6 3PN,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,STAFFORDSHIRE & STOKE ON TRENT STP
LONDON,CUSTOM HOUSE SURGERY,F84047,E16 3NA,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.25mg/0.19ml inj 1.5ml pf dispos dev,EAST LONDON HEALTH & CARE P/SHIP STP
NORTH WEST,THOMAS LINACRE MEDICAL,Y05614,WN1 2NN,1,5,5,366.25,340.94937,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.25mg/0.19ml inj 1.5ml pf dispos dev,GREATER MANCHESTER HSC PARTNERSHIP STP
SOUTH WEST,VILLAGE SURGERY,J81042,BH12 5BF,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,DORSET STP
EAST OF ENGLAND,COLCHESTER MEDICAL PRACTICE,F81042,CO1 2QS,4,3,12,879.0,818.16689,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,SUFFOLK & NORTH EAST ESSEX STP
EAST OF ENGLAND,ASHINGDON MEDICAL CENTRE,F81690,SS4 3BW,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,MID AND SOUTH ESSEX STP
EAST OF ENGLAND,GHAURI PRACTICE,F81205,SS8 0EX,1,3,3,219.75,204.56962,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,MID AND SOUTH ESSEX STP
SOUTH EAST,COWPLAIN FAMILY PRACTICE,J82163,PO8 8DL,2,3,6,439.5,409.10205,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,HAMPSHIRE & THE ISLE OF WIGHT STP
NORTH WEST,WILLIAM HOPWOOD STREET SURGERY,P81707,BB1 1LX,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP
LONDON,COVENT GARDEN MEDICAL CENTRE,E87045,WC2H 9AA,1,3,3,219.75,204.56962,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,NW LONDON HEALTH & CARE PARTNERSHIP STP
NORTH WEST,KEW SURGERY,N84617,PR8 6RG,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,CHESHIRE & MERSEYSIDE STP
NORTH WEST,RAINFORD HEALTH CENTRE,N83041,WA11 8AZ,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,CHESHIRE & MERSEYSIDE STP
LONDON,THE RIDGEWAY SURGERY,E84068,HA2 7DU,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.25mg/0.19ml inj 1.5ml pf dispos dev,NW LONDON HEALTH & CARE PARTNERSHIP STP
LONDON,MOUNT MEDICAL CENTRE,E85035,TW13 6AJ,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,NW LONDON HEALTH & CARE PARTNERSHIP STP
LONDON,FIRSTCARE PRACTICE,E85062,TW3 1NL,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,NW LONDON HEALTH & CARE PARTNERSHIP STP
LONDON,CHESTNUT PRACTICE,E85059,TW3 3LN,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,NW LONDON HEALTH & CARE PARTNERSHIP STP
