mes,sustancia,status,filas,detalle
202301,Tirzepatide,zero,,
202302,Semaglutide,ok,32849.0,
202302,Liraglutide,ok,13486.0,
202302,Dulaglutide,ok,25135.0,
202302,Exenatide,ok,2589.0,
202302,Lixisenatide,ok,786.0,
202302,Tirzepatide,ok,1.0,
202303,Semaglutide,ok,35642.0,
202303,Liraglutide,ok,14347.0,
202303,Dulaglutide,ok,26345.0,
202303,Exenatide,ok,2753.0,
202303,Lixisenatide,ok,766.0,
202303,Tirzepatide,zero,,
202304,Semaglutide,ok,34721.0,
202304,Liraglutide,ok,13885.0,
202304,Dulaglutide,ok,25648.0,
202304,Exenatide,ok,2598.0,
202304,Lixisenatide,ok,707.0,
202304,Tirzepatide,zero,,
202305,Semaglutide,ok,35464.0,
202305,Liraglutide,ok,14276.0,
202305,Dulaglutide,ok,26596.0,
202305,Exenatide,ok,2762.0,
202305,Lixisenatide,ok,756.0,
202305,Tirzepatide,zero,,
202306,Semaglutide,ok,35430.0,
202306,Liraglutide,ok,14048.0,
202306,Dulaglutide,ok,27174.0,
202306,Exenatide,ok,2984.0,
202306,Lixisenatide,ok,721.0,
202306,Tirzepatide,ok,1.0,
202307,Semaglutide,ok,34121.0,
202307,Liraglutide,ok,14249.0,
202307,Dulaglutide,ok,27331.0,
202307,Exenatide,ok,3189.0,
202307,Lixisenatide,ok,740.0,
202307,Tirzepatide,zero,,
202308,Semaglutide,ok,32001.0,
202308,Liraglutide,ok,12418.0,
202308,Dulaglutide,ok,27032.0,
202308,Exenatide,ok,3164.0,
202308,Lixisenatide,ok,706.0,
202308,Tirzepatide,ok,1.0,
202309,Semaglutide,ok,32565.0,
202309,Liraglutide,ok,12007.0,
202309,Dulaglutide,ok,26769.0,
202309,Exenatide,ok,3040.0,
202309,Lixisenatide,ok,681.0,
202309,Tirzepatide,zero,,
202310,Semaglutide,ok,32842.0,
202310,Liraglutide,ok,8868.0,
202310,Dulaglutide,ok,26562.0,
202310,Exenatide,ok,3002.0,
202310,Lixisenatide,ok,673.0,
202310,Tirzepatide,ok,1.0,
202311,Semaglutide,ok,32990.0,
202311,Liraglutide,ok,6610.0,
202311,Dulaglutide,ok,26800.0,
202311,Exenatide,ok,2951.0,
202311,Lixisenatide,ok,643.0,
202311,Tirzepatide,ok,2.0,
202312,Semaglutide,ok,31190.0,
202312,Liraglutide,ok,5284.0,
202312,Dulaglutide,ok,26255.0,
202312,Exenatide,ok,2764.0,
202312,Lixisenatide,ok,472.0,
202312,Tirzepatide,ok,3.0,
202401,Semaglutide,ok,35451.0,
202401,Liraglutide,ok,4288.0,
202401,Dulaglutide,ok,25783.0,
202401,Exenatide,ok,2728.0,
202401,Lixisenatide,ok,280.0,
202401,Tirzepatide,ok,5.0,
202402,Semaglutide,ok,36691.0,
202402,Liraglutide,ok,3390.0,
202402,Dulaglutide,ok,25064.0,
202402,Exenatide,ok,2476.0,
202402,Lixisenatide,ok,198.0,
202402,Tirzepatide,ok,198.0,
202403,Semaglutide,ok,40827.0,
202403,Liraglutide,ok,2708.0,
202403,Dulaglutide,ok,24525.0,
202403,Exenatide,ok,2531.0,
202403,Lixisenatide,ok,151.0,
202403,Tirzepatide,ok,1681.0,
202404,Semaglutide,ok,38921.0,
202404,Liraglutide,ok,2248.0,
202404,Dulaglutide,ok,24721.0,
202404,Exenatide,ok,2388.0,
202404,Lixisenatide,ok,105.0,
202404,Tirzepatide,ok,5090.0,
202405,Semaglutide,ok,39532.0,
202405,Liraglutide,ok,1838.0,
202405,Dulaglutide,ok,23358.0,
202405,Exenatide,ok,2366.0,
202405,Lixisenatide,ok,80.0,
202405,Tirzepatide,ok,8871.0,
202406,Semaglutide,ok,39930.0,
202406,Liraglutide,ok,1565.0,
202406,Dulaglutide,ok,22920.0,
202406,Exenatide,ok,2187.0,
202406,Lixisenatide,ok,60.0,
202406,Tirzepatide,ok,12218.0,
202407,Semaglutide,ok,41446.0,
202407,Liraglutide,ok,1322.0,
202407,Dulaglutide,ok,22804.0,
202407,Exenatide,ok,2142.0,
202407,Lixisenatide,ok,35.0,
202407,Tirzepatide,ok,16075.0,
202408,Semaglutide,ok,39837.0,
202408,Liraglutide,ok,1082.0,
202408,Dulaglutide,ok,20937.0,
202408,Exenatide,ok,2077.0,
202408,Lixisenatide,ok,22.0,
202408,Tirzepatide,ok,18774.0,
202409,Semaglutide,ok,39507.0,
202409,Liraglutide,ok,914.0,
202409,Dulaglutide,ok,19851.0,
202409,Exenatide,ok,1924.0,
202409,Lixisenatide,ok,13.0,
202409,Tirzepatide,ok,21329.0,
202410,Semaglutide,ok,39809.0,
202410,Liraglutide,ok,842.0,
202410,Dulaglutide,ok,20316.0,
202410,Exenatide,ok,1842.0,
202410,Lixisenatide,ok,11.0,
202410,Tirzepatide,ok,24747.0,
202411,Semaglutide,ok,38717.0,
202411,Liraglutide,ok,733.0,
202411,Dulaglutide,ok,19624.0,
202411,Exenatide,ok,1739.0,
202411,Lixisenatide,ok,8.0,
202411,Tirzepatide,ok,27088.0,
202412,Semaglutide,ok,39136.0,
202412,Liraglutide,ok,685.0,
202412,Dulaglutide,ok,19339.0,
202412,Exenatide,ok,1688.0,
202412,Lixisenatide,ok,6.0,
202412,Tirzepatide,ok,28940.0,
202501,Semaglutide,ok,39428.0,
202501,Liraglutide,ok,698.0,
202501,Dulaglutide,ok,19207.0,
202501,Exenatide,ok,1642.0,
202501,Lixisenatide,ok,6.0,
202501,Tirzepatide,ok,31622.0,
202502,Semaglutide,ok,37627.0,
202502,Liraglutide,ok,620.0,
202502,Dulaglutide,ok,18362.0,
